#CHR	start	end	T00h	T02h	T06h	T12h	T18h	T24h
1	4929499	4929899	-0.1126	-0.1151	0.4730	0.1957	0.1628	-0.5729
1	5080098	5080498	0.1922	0.5528	0.2504	0.0820	0.4310	-0.8662
1	5169499	5169899	-0.3996	0.2177	0.5650	-0.2460	-0.9012	-0.6163
1	5289499	5289899	-0.0905	0.1211	-0.5116	0.3990	-0.1016	0.0017
1	5440098	5440498	-0.3904	0.1835	0.1780	-0.8403	0.1165	-0.2902
1	5529499	5529899	-0.2325	0.1221	-0.3989	-0.0516	-0.1095	0.2560
1	5649499	5649899	-0.5875	-1.2688	-0.5713	-0.8171	-0.9884	-1.5443
1	5800098	5800498	0.9291	0.5002	0.9361	0.9031	1.1887	1.2812
1	5889499	5889899	-0.2863	-0.4129	0.5316	-0.0294	-0.1392	-0.1777
1	6009499	6009899	0.2966	-0.1691	0.0342	0.2734	0.2192	0.0163
1	6160098	6160498	0.0076	0.1574	-0.2620	-0.1406	0.5262	0.6623
1	6249499	6249899	-0.2325	0.2087	-0.0449	-0.0797	-0.2624	-0.3980
1	6369499	6369899	0.5705	0.8384	1.0721	1.0385	1.0059	1.5096
1	6520098	6520498	-0.4613	0.2450	0.0917	-0.0223	-0.2759	0.2904
1	6609499	6609899	-0.3310	0.0843	-0.1980	0.5381	0.5909	0.0678
1	6729499	6729899	0.3289	-0.0066	0.6753	0.2890	-0.6033	0.0176
1	6880098	6880498	-0.4488	0.2635	-0.2982	0.8391	0.2027	-0.4834
1	6969499	6969899	0.1085	-0.0259	0.1870	0.0293	0.1035	-0.4642
1	7089499	7089899	0.4707	-0.2853	0.1399	0.4727	-0.1212	-0.2453
1	7240098	7240498	-0.3755	-0.4307	-0.6751	0.2673	-0.3484	0.1004
1	7329499	7329899	-0.4310	-0.2134	-0.0395	0.2231	-0.2794	0.0863
1	7449499	7449899	-0.3910	0.3065	-0.0213	0.2554	0.5279	-0.1580
1	7600098	7600498	-0.4237	0.1479	0.2044	-0.2732	-0.1830	0.5297
1	7689499	7689899	-0.3664	0.3437	0.0618	0.2452	-0.0005	-0.1696
1	7809499	7809899	-0.5177	-0.0171	0.0882	0.3431	0.0734	-0.3489
1	7960098	7960498	-0.4963	-0.1650	0.8065	0.2024	-0.1990	-0.2452
1	8049499	8049899	-0.2963	0.1494	0.1106	0.1153	-0.0428	0.1406
1	8169499	8169899	-0.4768	0.0002	0.3382	-0.2053	-0.7297	-0.1790
1	8320098	8320498	-0.0485	0.0256	0.4899	0.0560	-0.0253	0.0069
1	8409499	8409899	0.2246	0.2362	0.1581	0.1719	-0.4377	-0.4738
1	8529499	8529899	-0.0000	-0.3333	0.3517	0.0858	0.2071	0.1973
1	8680098	8680498	-0.2192	0.0584	-0.0312	0.1966	0.3111	0.2523
1	8769499	8769899	-0.0554	0.0469	0.1320	-0.3378	-0.1644	0.4423
1	8889499	8889899	-0.0960	0.3421	0.2889	-0.4685	0.3795	-0.4696
1	9040098	9040498	0.3038	-0.3492	0.2827	0.2608	0.1346	0.1785
1	9129499	9129899	-0.0989	0.7835	-0.4541	0.5502	-0.8832	-0.1092
1	9249499	9249899	0.4268	0.9456	0.2744	-0.5425	-0.6940	-0.3005
1	9400098	9400498	0.1493	0.0623	0.0922	-0.3351	0.4859	0.1902
1	9489499	9489899	-0.0130	-0.1122	-0.1651	-0.6510	-0.3667	-0.5547
1	9609499	9609899	0.2505	0.0028	0.7016	-0.1514	0.0635	-0.2472
1	9760098	9760498	-0.8608	-0.9223	-1.0446	-1.0826	-1.5277	-2.2522
1	9849499	9849899	-0.4793	0.0457	-0.0113	-0.4030	-0.1812	-0.2883
1	9969499	9969899	-0.0841	0.4173	0.2699	0.2677	0.2559	-0.0069
1	10120098	10120498	1.0529	0.8017	1.5027	1.1519	1.5512	2.1931
1	10209499	10209899	-0.4205	-0.0757	-0.0011	0.3035	-0.3096	0.3941
1	10329499	10329899	-0.0387	0.1381	0.4214	0.7189	0.2495	0.3047
1	10480098	10480498	-0.3002	0.2998	0.0287	0.2746	0.0151	-0.2902
1	10569499	10569899	-0.3590	-0.3182	-0.4828	-0.2966	0.4328	-0.0235
1	10689499	10689899	-0.1988	0.4730	0.0174	0.0963	-0.5257	-0.1004
1	10840098	10840498	-0.8651	-0.0901	-0.0851	-0.0136	-0.2284	-0.2586
1	10929499	10929899	0.5038	0.4448	-0.2245	0.1892	0.0186	0.9087
1	11049499	11049899	0.0939	0.2803	0.2293	0.6619	0.3257	-0.4289
1	11200098	11200498	0.5256	0.7517	1.3402	1.6393	1.7209	1.6164
1	11289499	11289899	0.0828	-0.4137	0.1034	-0.2261	-0.5345	-0.1743
1	11409499	11409899	0.3322	-0.0781	-0.4402	-0.3698	0.2116	0.0084
1	11560098	11560498	-0.1866	0.4531	-0.7410	0.1383	-0.0983	-0.1476
1	11649499	11649899	-0.2614	0.0312	-0.4925	-0.5850	0.4986	-0.4815
1	11769499	11769899	0.5480	-0.0754	-0.2095	-0.4710	-0.3706	0.1889
1	11920098	11920498	-0.2439	-0.2279	0.3990	0.1065	0.1255	0.1770
1	12009499	12009899	-0.3154	0.2147	0.3831	0.3128	-0.0214	0.1058
1	12129499	12129899	0.4757	0.7167	0.0207	-0.4601	0.7075	0.4039
1	12280098	12280498	-0.0713	-0.6731	-0.6275	-0.6566	-0.9997	-1.0722
1	12369499	12369899	-0.0973	-0.1564	0.0941	0.2605	-0.4471	0.8218
1	12489499	12489899	0.2007	-0.3296	0.1827	0.0520	-0.3213	0.1397
1	12640098	12640498	0.4384	0.0399	-0.0881	0.3588	-0.0185	0.1724
1	12729499	12729899	-0.0191	-0.0267	-0.2957	0.1536	0.3515	0.0286
1	12849499	12849899	-0.1146	-0.3299	0.0965	-0.1657	-0.2496	-0.2437
1	13000098	13000498	0.2243	0.0569	0.4764	0.0408	0.0265	0.2721
1	13089499	13089899	-0.2595	0.6969	-0.5413	0.3370	-0.0673	0.0050
1	13209499	13209899	-0.6361	-1.5151	-1.9986	-1.1903	-2.2058	-1.8448
1	13360098	13360498	0.0253	-0.0358	0.2438	-0.0718	-0.3764	-0.3368
1	13449499	13449899	0.1736	-0.2934	-0.2010	0.5181	0.9030	0.4743
1	13569499	13569899	0.1216	-0.0475	-0.5344	0.1765	-0.2486	-0.4806
1	13720098	13720498	0.1944	-0.2705	-0.1321	0.1570	-0.0193	0.2290
1	13809499	13809899	0.1728	0.3319	-0.1109	-0.1194	-0.6606	0.4373
1	13929499	13929899	0.3350	0.2049	-0.2227	0.0278	-0.8140	0.2470
1	14080098	14080498	0.3834	0.0510	0.5266	-0.0282	0.1932	0.7214
1	14169499	14169899	-0.2051	-1.2665	-1.8285	-1.5328	-1.6104	-1.8317
1	14289499	14289899	-0.4186	-0.5783	-1.0591	-0.8017	-1.4336	-1.0612
1	14440098	14440498	1.5364	1.3411	0.8722	0.7452	1.3536	1.4338
1	14529499	14529899	-0.0044	-0.0379	0.3221	-0.1713	-0.2592	-0.1520
1	14649499	14649899	1.1730	1.1002	1.1136	1.6703	1.6559	1.8946
1	14800098	14800498	0.0712	-0.3118	-0.2699	-0.0418	0.0729	-0.3659
1	14889499	14889899	-0.4043	-0.3206	-0.2574	0.0629	0.2204	-0.2982
1	15009499	15009899	0.2892	-0.2125	0.1791	0.0637	-0.2111	-0.0221
1	15160098	15160498	-0.2896	0.3761	0.4815	-0.1818	-0.0561	0.3088
1	15249499	15249899	-0.2735	-0.1166	-0.2811	-0.5492	0.8032	0.5525
1	15369499	15369899	-0.5629	0.2554	-0.4336	0.5059	-0.1447	-0.3131
1	15520098	15520498	0.2378	-0.0064	0.5387	-0.2019	0.1271	0.2864
1	15609499	15609899	0.5706	0.4995	0.2558	-0.2951	-0.5168	-0.5684
1	15729499	15729899	0.1733	0.5413	-0.0118	-0.3503	-0.1161	0.2454
1	15880098	15880498	0.2723	-0.0588	0.0545	0.5136	-0.4181	0.5356
1	15969499	15969899	0.7470	1.2657	1.0380	1.6835	1.5495	1.7986
1	16089499	16089899	0.2210	-0.1173	-0.0157	-0.0202	-0.0839	0.4689
1	16240098	16240498	-0.4135	-0.1239	0.1727	0.6199	0.0965	0.2670
1	16329499	16329899	-0.2174	-0.1789	0.6103	0.1153	-0.1528	0.3081
1	16449499	16449899	0.4379	0.0928	1.0341	1.0547	0.7427	0.3431
1	16600098	16600498	0.3221	-0.1031	-0.6355	-0.1758	0.1456	-0.1610
1	16689499	16689899	1.0992	1.1335	0.4948	2.0479	1.3745	1.5034
1	16809499	16809899	-0.2337	0.2255	0.1658	-0.3256	0.6147	0.8232
1	16960098	16960498	0.2841	0.2408	-0.1461	0.5611	0.3309	0.0658
1	17049499	17049899	0.1654	0.1553	0.4796	-0.2650	-0.4409	-0.2034
1	17169499	17169899	-0.0934	0.2704	0.3075	-0.1496	-0.2643	-0.2125
1	17320098	17320498	-0.3720	-0.2084	-0.0955	0.1522	-0.5412	-0.3531
1	17409499	17409899	-0.0245	0.6377	-0.2750	0.2790	-0.2063	0.3166
1	17529499	17529899	-0.7093	-0.2141	-0.3787	0.1845	-0.1941	0.4392
1	17680098	17680498	-0.1583	0.3635	-0.0759	0.4010	-0.2365	-0.5628
1	17769499	17769899	-0.6296	-0.1707	-0.6631	-0.2688	0.2186	0.0223
1	17889499	17889899	-0.3204	0.3721	-0.2861	-0.5453	0.1530	-0.3087
1	18040098	18040498	-0.1234	-0.4269	0.6099	-0.3611	-0.4515	0.3701
1	18129499	18129899	0.2761	-0.0982	-0.2104	0.4735	1.0214	-0.3578
1	18249499	18249899	-0.0224	-0.4364	-0.3144	-0.3529	0.5012	0.4314
1	18400098	18400498	-0.1536	-0.1469	-0.5947	0.0689	-0.1084	0.9505
1	18489499	18489899	-0.5523	0.0525	0.1724	0.0948	0.1052	-0.3298
1	18609499	18609899	-0.6139	-1.0844	-1.9181	-0.7425	-1.2187	-1.8084
1	18760098	18760498	-0.1738	0.4093	0.0872	-0.0110	0.0839	0.3427
1	18849499	18849899	-0.3905	-0.0655	-0.0633	-0.3523	0.1177	0.2815
1	18969499	18969899	1.1451	0.9921	1.5325	0.9325	1.5094	1.7810
1	19120098	19120498	-0.1373	0.1201	-0.0021	0.6745	0.4234	-0.1510
1	19209499	19209899	-0.0861	-0.0402	-0.5701	0.0698	-0.6648	-0.1212
1	19329499	19329899	-0.3295	0.1515	0.3111	0.2967	0.1451	-0.1773
1	19480098	19480498	0.0484	-0.2089	0.1296	0.1155	0.0102	0.0190
1	19569499	19569899	-0.2278	0.1493	-0.1589	-0.6164	-0.7535	-0.0773
1	19689499	19689899	1.4219	1.2218	0.3496	1.1040	1.6010	1.7788
1	19840098	19840498	0.2065	-0.6571	-0.4042	-0.0047	0.2055	-0.3369
1	19929499	19929899	-0.5089	-1.0665	-0.6004	-0.7178	-1.4667	-2.0667
1	20049499	20049899	0.2888	-0.1685	0.1108	0.1305	0.1286	0.0626
1	20200098	20200498	-0.3467	0.2879	0.1709	-0.1348	-0.4455	0.5189
1	20289499	20289899	-0.9137	-0.3064	-1.0098	-0.7849	-0.7989	-1.0034
1	20409499	20409899	0.5305	0.1066	0.1948	0.5897	0.5052	-0.4493
1	20560098	20560498	-0.0975	-0.6767	-0.0415	0.0512	-0.0093	0.3107
1	20649499	20649899	0.6059	0.1428	0.2121	0.4527	-0.3165	0.8305
1	20769499	20769899	-0.5435	0.0665	0.0917	-0.4877	-0.4144	-0.4328
1	20920098	20920498	0.2151	0.1651	0.1761	-0.5483	0.1841	0.4962
1	21009499	21009899	0.0925	-0.1865	-0.7199	-0.4124	0.7053	0.0608
1	21129499	21129899	0.0619	-0.4691	-0.1808	-0.5264	-0.9437	-0.6792
1	21280098	21280498	-0.2152	-0.3473	0.6459	0.0606	-0.0841	-0.1970
1	21369499	21369899	-0.1755	-0.1725	0.0012	0.3983	0.3411	-0.1213
1	21489499	21489899	-0.1373	-0.5087	0.8304	-0.3887	0.3055	-0.3112
1	21640098	21640498	0.4193	-0.2321	-0.0751	0.1809	-0.0395	0.2629
1	21729499	21729899	0.4087	-0.2816	0.3262	0.6425	-0.0133	0.1261
1	21849499	21849899	-0.4893	-0.1573	-0.4272	0.7024	0.1302	0.2907
1	22000098	22000498	-0.0081	0.1942	-0.0515	0.2937	0.5896	0.2833
1	22089499	22089899	-0.0976	0.1374	-0.0688	-0.3382	-0.1078	0.6454
1	22209499	22209899	-0.0573	-0.1243	0.0110	-0.1924	0.0945	-0.4066
1	22360098	22360498	-0.0371	-0.1201	0.2199	-0.2076	0.4952	-0.2912
1	22449499	22449899	-0.2172	0.6542	-0.0276	0.3272	0.3659	0.0808
1	22569499	22569899	-0.1465	0.0804	-0.2561	0.1320	-0.1467	-0.0207
1	22720098	22720498	-0.0255	0.1575	-0.5391	0.1268	0.0734	0.3224
1	22809499	22809899	1.4931	0.9904	1.6732	1.3379	1.4799	1.2645
1	22929499	22929899	-0.3755	-0.1583	-0.0830	-0.0703	0.2650	-0.2894
1	23080098	23080498	0.3901	-0.3989	0.1527	-0.0698	-0.4661	-0.3949
1	23169499	23169899	0.6146	0.0424	-0.1905	0.5138	0.2090	-0.4147
1	23289499	23289899	-0.2734	-0.2008	-0.1377	-0.0330	0.2308	-0.7135
1	23440098	23440498	-0.1154	0.9380	0.2173	0.3672	0.7310	-0.3715
1	23529499	23529899	0.3735	0.4302	-0.0215	-0.1551	-0.0192	-0.4427
1	23649499	23649899	0.0404	0.1354	0.3071	-0.3250	-0.3774	0.2263
1	23800098	23800498	0.8606	1.5127	1.0173	2.0756	1.5536	2.2684
1	23889499	23889899	-0.3620	0.1788	-0.0645	-0.0871	-0.5864	0.0841
1	24009499	24009899	-0.3147	-0.0673	-0.1804	0.0322	0.3647	-0.0160
1	24160098	24160498	-0.5045	-0.0860	0.2356	-0.5517	-0.3430	-0.1358
1	24249499	24249899	0.3150	-0.3814	0.0154	-0.2855	0.2194	0.0702
1	24369499	24369899	-0.1049	0.2133	0.4276	-0.9486	0.6246	-0.2724
1	24520098	24520498	0.3212	-0.0224	-0.1902	0.3512	-0.3441	0.7014
1	24609499	24609899	-0.0520	0.1865	0.2834	-0.4205	-0.2172	-0.1058
1	24729499	24729899	-0.2817	0.1932	-0.0735	-0.4223	0.0069	-0.3669
1	24880098	24880498	0.2661	-0.4958	0.1065	-0.2064	0.0876	0.3370
1	24969499	24969899	0.0175	-0.1993	0.0046	0.2298	0.1959	-0.2487
1	25089499	25089899	1.0968	1.4223	1.5819	1.3111	1.8262	1.2208
1	25240098	25240498	-1.0747	-0.9540	-0.6556	-1.7613	-1.3514	-2.0446
1	25329499	25329899	0.5292	-0.1669	-0.0792	0.2571	0.1544	-0.3695
1	25449499	25449899	0.4386	-0.1186	0.0301	-0.2382	-0.3504	-0.0067
1	25600098	25600498	0.0251	0.5445	-0.1960	0.0962	-0.2055	-0.1638
1	25689499	25689899	1.0915	0.5855	1.7526	1.7311	1.7643	1.6505
1	25809499	25809899	1.2653	1.3152	0.8920	0.9913	1.6518	1.2626
1	25960098	25960498	0.9740	1.0249	1.3150	1.6921	1.4936	1.5535
1	26049499	26049899	0.3683	-0.5415	-0.0343	-0.1516	0.3791	-0.2063
1	26169499	26169899	-0.9415	-0.7811	-1.4955	-1.3957	-1.7361	-1.6865
1	26320098	26320498	-0.3665	-0.1415	-0.1619	0.0010	-0.3490	0.8355
1	26409499	26409899	-0.7721	-1.8475	-0.9817	-1.4522	-1.5234	-1.4347
1	26529499	26529899	0.9945	0.6724	1.4059	1.6111	1.7918	1.2309
1	26680098	26680498	0.0476	0.1092	-0.0800	-0.3474	0.1228	0.2456
1	26769499	26769899	0.4393	-0.5218	-0.1948	-0.6061	-0.1597	-0.5442
1	26889499	26889899	-0.3716	0.2268	0.4377	0.1077	-0.5183	-0.3031
1	27040098	27040498	-0.0607	0.0978	-0.5967	0.1341	-0.0218	-0.0682
1	27129499	27129899	1.3950	0.9343	1.9623	1.4465	1.6107	1.5156
1	27249499	27249899	0.0459	-0.2212	0.0083	-0.0626	0.2304	0.0339
1	27400098	27400498	0.5671	-0.9395	-1.2383	-0.1144	-1.4314	-1.1944
1	27489499	27489899	-0.2824	-0.0621	0.1317	0.6395	0.1645	-0.0967
1	27609499	27609899	-0.4983	0.2162	0.1455	-0.5842	0.4287	-0.1592
1	27760098	27760498	-0.3078	-0.2121	-0.0351	-0.1432	-0.2159	-0.0061
1	27849499	27849899	-0.1674	-0.3153	-1.2053	-1.2782	-1.3226	-1.7027
1	27969499	27969899	0.1873	0.0407	-0.4706	0.0314	-0.2232	0.2649
1	28120098	28120498	-0.3644	-0.4733	-0.1103	0.1377	-0.8537	0.4342
1	28209499	28209899	-0.3507	-0.3167	0.3805	-0.0759	0.0091	-0.1939
1	28329499	28329899	-0.3591	0.4196	-0.4885	-0.0641	-0.1722	0.4252
1	28480098	28480498	0.2576	-0.0586	0.0640	0.4083	0.8289	0.0800
1	28569499	28569899	0.2944	1.3690	1.3721	1.3769	1.6882	1.6555
1	28689499	28689899	-0.7207	-0.7222	-1.3067	-1.9745	-1.7729	-1.7479
1	28840098	28840498	-0.0284	-0.0200	0.1278	-0.1632	-0.0846	0.2254
1	28929499	28929899	-0.2291	0.7857	-0.4766	-0.3083	-0.3530	0.0694
1	29049499	29049899	-0.2981	-0.0488	-0.3816	0.3468	0.9133	0.0306
1	29200098	29200498	-1.0102	-0.0443	-0.1544	-0.1345	-0.3091	0.1115
1	29289499	29289899	0.8138	0.4975	1.7477	1.4011	1.9050	1.5600
1	29409499	29409899	-0.0291	-0.3356	0.0452	0.5735	0.2642	0.0271
1	29560098	29560498	0.3445	-0.7097	-0.1081	-0.0719	-0.5794	-0.3315
1	29649499	29649899	0.5818	0.1814	0.1570	-0.3819	-0.5303	-0.4529
1	29769499	29769899	0.2058	-0.6190	-0.8097	0.0016	0.7381	-0.0133
1	29920098	29920498	1.3840	0.8662	1.2031	1.7009	2.3622	1.6508
1	30009499	30009899	0.2087	-0.3271	-0.3934	0.2760	0.2616	-0.0777
1	30129499	30129899	-0.2201	0.0004	-0.4070	0.4154	0.3949	0.3305
1	30280098	30280498	0.2927	-0.1060	-0.8201	0.4473	0.2469	0.2548
1	30369499	30369899	0.5745	0.2068	-0.4583	-0.1079	-0.4979	0.3990
1	30489499	30489899	1.1612	1.5251	0.8887	1.5867	1.3071	1.1991
1	30640098	30640498	-0.6589	0.7158	0.3530	0.2005	0.1174	0.3578
1	30729499	30729899	0.3133	-0.1178	-0.0960	0.2016	-0.4587	0.2422
1	30849499	30849899	-0.7494	-0.3277	-0.2872	-0.5415	0.0680	0.1642
1	31000098	31000498	1.1828	1.1807	1.2893	1.6270	1.9033	1.3339
1	31089499	31089899	-0.1310	0.3138	-0.6251	0.6115	-0.0205	-0.2004
1	31209499	31209899	-0.0490	-0.0874	0.5686	0.0770	0.0730	-0.1509
1	31360098	31360498	-0.1387	0.2903	0.0951	-0.6463	0.1654	-0.5506
1	31449499	31449899	-0.4003	-0.5554	-0.2734	-1.1430	-1.7385	-0.9805
1	31569499	31569899	0.7646	0.8652	1.0351	1.2447	1.6008	2.0316
1	31720098	31720498	0.4152	0.9540	-0.2818	-0.0556	0.0907	-0.3974
1	31809499	31809899	-0.1468	-0.2230	0.2702	-0.0556	0.0308	0.6763
1	31929499	31929899	0.3464	0.4061	-0.6984	1.1116	0.3934	0.3791
1	32080098	32080498	0.9537	-0.7921	0.1129	0.1913	-0.7689	0.0442
1	32169499	32169899	-0.4014	-0.1334	-0.5020	0.7583	0.1466	0.6844
1	32289499	32289899	0.2313	-0.0617	-0.3105	-0.3175	-0.3305	-0.3045
1	32440098	32440498	0.2874	0.1064	-0.1165	-0.3579	0.3969	0.3452
1	32529499	32529899	0.2018	-0.0276	0.0798	-0.2012	0.3803	-0.1679
1	32649499	32649899	0.8368	0.4474	0.8945	0.8572	1.5254	1.4086
1	32800098	32800498	-0.3068	-0.0526	0.4463	0.3041	-0.0086	-0.9866
1	32889499	32889899	-0.4793	0.1835	0.1747	0.3377	-0.4899	-0.1790
1	33009499	33009899	-0.5310	-0.1103	-1.0753	0.1235	0.0993	0.4308
1	33160098	33160498	0.6520	-0.2670	-0.2950	-0.7499	0.5409	0.1980
1	33249499	33249899	-0.3232	0.2836	-0.0420	0.1300	0.1251	0.3343
1	33369499	33369899	0.2063	0.2687	-0.2046	-0.0734	0.1113	0.1798
1	33520098	33520498	0.9231	0.4564	-0.0561	-0.4054	0.0787	-0.1628
1	33609499	33609899	-0.0617	-0.9046	-1.4759	-0.8992	-1.4846	-1.7618
1	33729499	33729899	0.0315	0.0320	-0.0236	-0.5928	0.4009	0.3262
1	33880098	33880498	0.2662	0.4163	0.0664	-0.1015	0.0357	-0.5981
1	33969499	33969899	0.8317	1.1795	0.5530	0.5658	1.2281	1.0862
1	34089499	34089899	-0.2241	0.4417	0.4637	0.0171	-0.1820	0.0220
