T00h	T02h	T06h	T12h	T18h	T24h
ENSMUSG00000018569	ENSMUSG00000006411	ENSMUSG00000007080	ENSMUSG00000004296	ENSMUSG00000003970	ENSMUSG00000003299
ENSMUSG00000018623	ENSMUSG00000006445	ENSMUSG00000007646	ENSMUSG00000005682	ENSMUSG00000004018	ENSMUSG00000003429
ENSMUSG00000019810	ENSMUSG00000006542	ENSMUSG00000007892	ENSMUSG00000005958	ENSMUSG00000004233	ENSMUSG00000003545
ENSMUSG00000019842	ENSMUSG00000007880	ENSMUSG00000008668	ENSMUSG00000006333	ENSMUSG00000004296	ENSMUSG00000003752
ENSMUSG00000019989	ENSMUSG00000007892	ENSMUSG00000008683	ENSMUSG00000006542	ENSMUSG00000004952	ENSMUSG00000003970
ENSMUSG00000020168	ENSMUSG00000008683	ENSMUSG00000008859	ENSMUSG00000007038	ENSMUSG00000005069	ENSMUSG00000004018
ENSMUSG00000020362	ENSMUSG00000009092	ENSMUSG00000009585	ENSMUSG00000007050	ENSMUSG00000005142	ENSMUSG00000004069
ENSMUSG00000020372	ENSMUSG00000009905	ENSMUSG00000009588	ENSMUSG00000007080	ENSMUSG00000005682	ENSMUSG00000004233
ENSMUSG00000020407	ENSMUSG00000012848	ENSMUSG00000009927	ENSMUSG00000007122	ENSMUSG00000005958	ENSMUSG00000004285
ENSMUSG00000020415	ENSMUSG00000013584	ENSMUSG00000010406	ENSMUSG00000007338	ENSMUSG00000006262	ENSMUSG00000004296
ENSMUSG00000020423	ENSMUSG00000015337	ENSMUSG00000012405	ENSMUSG00000007613	ENSMUSG00000006333	ENSMUSG00000004846
ENSMUSG00000020519	ENSMUSG00000016018	ENSMUSG00000012848	ENSMUSG00000007646	ENSMUSG00000006411	ENSMUSG00000004952
ENSMUSG00000020520	ENSMUSG00000017007	ENSMUSG00000013584	ENSMUSG00000008668	ENSMUSG00000006445	ENSMUSG00000005069
ENSMUSG00000020566	ENSMUSG00000018569	ENSMUSG00000014355	ENSMUSG00000008683	ENSMUSG00000006542	ENSMUSG00000005142
ENSMUSG00000020636	ENSMUSG00000019647	ENSMUSG00000016349	ENSMUSG00000009092	ENSMUSG00000007038	ENSMUSG00000005682
ENSMUSG00000020697	ENSMUSG00000019846	ENSMUSG00000017007	ENSMUSG00000009585	ENSMUSG00000007050	ENSMUSG00000005958
ENSMUSG00000020718	ENSMUSG00000019966	ENSMUSG00000017146	ENSMUSG00000009588	ENSMUSG00000007080	ENSMUSG00000006262
ENSMUSG00000020868	ENSMUSG00000019989	ENSMUSG00000017929	ENSMUSG00000009905	ENSMUSG00000007122	ENSMUSG00000006333
ENSMUSG00000021313	ENSMUSG00000020166	ENSMUSG00000018001	ENSMUSG00000009927	ENSMUSG00000007338	ENSMUSG00000006411
ENSMUSG00000021428	ENSMUSG00000020182	ENSMUSG00000018166	ENSMUSG00000010406	ENSMUSG00000007613	ENSMUSG00000006445
ENSMUSG00000021514	ENSMUSG00000020265	ENSMUSG00000018623	ENSMUSG00000012848	ENSMUSG00000007646	ENSMUSG00000006542
ENSMUSG00000021520	ENSMUSG00000020334	ENSMUSG00000018907	ENSMUSG00000013584	ENSMUSG00000007880	ENSMUSG00000007038
ENSMUSG00000021668	ENSMUSG00000020372	ENSMUSG00000019647	ENSMUSG00000014355	ENSMUSG00000007892	ENSMUSG00000007050
ENSMUSG00000021911	ENSMUSG00000020415	ENSMUSG00000019710	ENSMUSG00000015747	ENSMUSG00000008668	ENSMUSG00000007080
ENSMUSG00000022707	ENSMUSG00000020477	ENSMUSG00000019977	ENSMUSG00000016349	ENSMUSG00000008683	ENSMUSG00000007122
ENSMUSG00000022779	ENSMUSG00000020515	ENSMUSG00000019989	ENSMUSG00000016496	ENSMUSG00000008859	ENSMUSG00000007338
ENSMUSG00000022863	ENSMUSG00000020520	ENSMUSG00000020256	ENSMUSG00000017007	ENSMUSG00000009092	ENSMUSG00000007613
ENSMUSG00000023249	ENSMUSG00000020566	ENSMUSG00000020265	ENSMUSG00000017264	ENSMUSG00000009588	ENSMUSG00000007646
ENSMUSG00000023452	ENSMUSG00000020636	ENSMUSG00000020362	ENSMUSG00000017404	ENSMUSG00000009905	ENSMUSG00000007880
ENSMUSG00000023953	ENSMUSG00000020697	ENSMUSG00000020407	ENSMUSG00000017929	ENSMUSG00000010406	ENSMUSG00000007892
ENSMUSG00000023967	ENSMUSG00000020868	ENSMUSG00000020477	ENSMUSG00000018001	ENSMUSG00000012405	ENSMUSG00000008668
ENSMUSG00000024027	ENSMUSG00000020888	ENSMUSG00000020519	ENSMUSG00000018008	ENSMUSG00000012483	ENSMUSG00000008683
ENSMUSG00000024032	ENSMUSG00000021048	ENSMUSG00000020520	ENSMUSG00000018623	ENSMUSG00000012848	ENSMUSG00000008859
ENSMUSG00000024414	ENSMUSG00000021177	ENSMUSG00000020527	ENSMUSG00000019710	ENSMUSG00000013584	ENSMUSG00000009092
ENSMUSG00000024810	ENSMUSG00000021235	ENSMUSG00000020636	ENSMUSG00000019810	ENSMUSG00000014355	ENSMUSG00000009585
ENSMUSG00000024824	ENSMUSG00000021313	ENSMUSG00000020697	ENSMUSG00000019842	ENSMUSG00000015337	ENSMUSG00000009588
ENSMUSG00000024829	ENSMUSG00000021356	ENSMUSG00000020718	ENSMUSG00000019890	ENSMUSG00000015672	ENSMUSG00000009905
ENSMUSG00000024833	ENSMUSG00000021607	ENSMUSG00000020888	ENSMUSG00000019977	ENSMUSG00000015747	ENSMUSG00000009927
ENSMUSG00000024853	ENSMUSG00000021622	ENSMUSG00000021130	ENSMUSG00000019989	ENSMUSG00000016018	ENSMUSG00000010406
ENSMUSG00000024854	ENSMUSG00000021668	ENSMUSG00000021177	ENSMUSG00000020168	ENSMUSG00000016349	ENSMUSG00000012405
ENSMUSG00000024903	ENSMUSG00000021731	ENSMUSG00000021235	ENSMUSG00000020182	ENSMUSG00000016496	ENSMUSG00000012483
ENSMUSG00000025208	ENSMUSG00000021911	ENSMUSG00000021313	ENSMUSG00000020256	ENSMUSG00000017007	ENSMUSG00000012848
ENSMUSG00000025232	ENSMUSG00000022283	ENSMUSG00000021356	ENSMUSG00000020260	ENSMUSG00000017146	ENSMUSG00000013584
ENSMUSG00000025348	ENSMUSG00000022505	ENSMUSG00000021428	ENSMUSG00000020321	ENSMUSG00000017264	ENSMUSG00000014355
ENSMUSG00000025362	ENSMUSG00000022508	ENSMUSG00000021464	ENSMUSG00000020362	ENSMUSG00000017404	ENSMUSG00000015337
ENSMUSG00000025410	ENSMUSG00000022528	ENSMUSG00000021514	ENSMUSG00000020415	ENSMUSG00000017929	ENSMUSG00000015575
ENSMUSG00000025508	ENSMUSG00000022779	ENSMUSG00000021901	ENSMUSG00000020460	ENSMUSG00000018001	ENSMUSG00000015672
ENSMUSG00000025646	ENSMUSG00000022803	ENSMUSG00000021903	ENSMUSG00000020477	ENSMUSG00000018008	ENSMUSG00000015747
ENSMUSG00000025759	ENSMUSG00000022841	ENSMUSG00000021911	ENSMUSG00000020514	ENSMUSG00000018166	ENSMUSG00000016018
ENSMUSG00000025867	ENSMUSG00000022885	ENSMUSG00000021962	ENSMUSG00000020515	ENSMUSG00000018569	ENSMUSG00000016349
ENSMUSG00000025876	ENSMUSG00000023452	ENSMUSG00000022456	ENSMUSG00000020519	ENSMUSG00000018623	ENSMUSG00000016496
ENSMUSG00000026011	ENSMUSG00000023723	ENSMUSG00000022505	ENSMUSG00000020527	ENSMUSG00000018907	ENSMUSG00000017007
ENSMUSG00000026155	ENSMUSG00000023980	ENSMUSG00000022528	ENSMUSG00000020566	ENSMUSG00000018927	ENSMUSG00000017146
ENSMUSG00000026173	ENSMUSG00000024032	ENSMUSG00000022707	ENSMUSG00000020636	ENSMUSG00000019370	ENSMUSG00000017264
ENSMUSG00000026304	ENSMUSG00000024181	ENSMUSG00000022863	ENSMUSG00000020697	ENSMUSG00000019647	ENSMUSG00000017404
ENSMUSG00000026496	ENSMUSG00000024293	ENSMUSG00000022885	ENSMUSG00000020718	ENSMUSG00000019710	ENSMUSG00000017929
ENSMUSG00000026994	ENSMUSG00000024359	ENSMUSG00000023043	ENSMUSG00000020868	ENSMUSG00000019810	ENSMUSG00000018001
ENSMUSG00000027323	ENSMUSG00000024414	ENSMUSG00000023249	ENSMUSG00000020888	ENSMUSG00000019842	ENSMUSG00000018008
ENSMUSG00000027796	ENSMUSG00000024436	ENSMUSG00000023939	ENSMUSG00000020946	ENSMUSG00000019846	ENSMUSG00000018166
ENSMUSG00000028059	ENSMUSG00000024493	ENSMUSG00000023953	ENSMUSG00000021048	ENSMUSG00000019890	ENSMUSG00000018569
ENSMUSG00000028086	ENSMUSG00000024539	ENSMUSG00000023967	ENSMUSG00000021130	ENSMUSG00000019966	ENSMUSG00000018623
ENSMUSG00000028164	ENSMUSG00000024608	ENSMUSG00000024181	ENSMUSG00000021235	ENSMUSG00000019989	ENSMUSG00000018907
ENSMUSG00000028430	ENSMUSG00000024781	ENSMUSG00000024293	ENSMUSG00000021356	ENSMUSG00000020168	ENSMUSG00000018927
ENSMUSG00000028453	ENSMUSG00000024810	ENSMUSG00000024338	ENSMUSG00000021428	ENSMUSG00000020182	ENSMUSG00000019370
ENSMUSG00000028622	ENSMUSG00000024824	ENSMUSG00000024359	ENSMUSG00000021461	ENSMUSG00000020260	ENSMUSG00000019647
ENSMUSG00000028633	ENSMUSG00000024833	ENSMUSG00000024392	ENSMUSG00000021464	ENSMUSG00000020265	ENSMUSG00000019710
ENSMUSG00000028636	ENSMUSG00000024903	ENSMUSG00000024436	ENSMUSG00000021520	ENSMUSG00000020321	ENSMUSG00000019810
ENSMUSG00000028800	ENSMUSG00000024906	ENSMUSG00000024727	ENSMUSG00000021607	ENSMUSG00000020415	ENSMUSG00000019842
ENSMUSG00000028936	ENSMUSG00000025024	ENSMUSG00000024742	ENSMUSG00000021622	ENSMUSG00000020423	ENSMUSG00000019846
ENSMUSG00000029082	ENSMUSG00000025064	ENSMUSG00000024781	ENSMUSG00000021665	ENSMUSG00000020460	ENSMUSG00000019890
ENSMUSG00000029363	ENSMUSG00000025144	ENSMUSG00000024854	ENSMUSG00000021668	ENSMUSG00000020477	ENSMUSG00000019966
ENSMUSG00000029570	ENSMUSG00000025158	ENSMUSG00000024902	ENSMUSG00000021901	ENSMUSG00000020514	ENSMUSG00000019977
ENSMUSG00000029647	ENSMUSG00000025232	ENSMUSG00000024906	ENSMUSG00000021903	ENSMUSG00000020519	ENSMUSG00000019989
ENSMUSG00000029711	ENSMUSG00000025400	ENSMUSG00000025024	ENSMUSG00000021911	ENSMUSG00000020520	ENSMUSG00000020166
ENSMUSG00000029859	ENSMUSG00000025410	ENSMUSG00000025064	ENSMUSG00000022283	ENSMUSG00000020527	ENSMUSG00000020168
ENSMUSG00000030045	ENSMUSG00000025508	ENSMUSG00000025232	ENSMUSG00000022508	ENSMUSG00000020566	ENSMUSG00000020182
ENSMUSG00000030074	ENSMUSG00000025794	ENSMUSG00000025362	ENSMUSG00000022528	ENSMUSG00000020636	ENSMUSG00000020256
ENSMUSG00000030340	ENSMUSG00000025867	ENSMUSG00000025369	ENSMUSG00000022545	ENSMUSG00000020697	ENSMUSG00000020260
ENSMUSG00000030342	ENSMUSG00000026113	ENSMUSG00000025400	ENSMUSG00000022574	ENSMUSG00000020718	ENSMUSG00000020265
ENSMUSG00000030399	ENSMUSG00000026174	ENSMUSG00000025409	ENSMUSG00000022707	ENSMUSG00000020888	ENSMUSG00000020321
ENSMUSG00000030432	ENSMUSG00000026429	ENSMUSG00000025410	ENSMUSG00000022779	ENSMUSG00000020918	ENSMUSG00000020334
ENSMUSG00000030528	ENSMUSG00000026768	ENSMUSG00000025646	ENSMUSG00000022803	ENSMUSG00000020946	ENSMUSG00000020362
ENSMUSG00000030560	ENSMUSG00000026856	ENSMUSG00000025794	ENSMUSG00000022863	ENSMUSG00000021048	ENSMUSG00000020372
ENSMUSG00000030603	ENSMUSG00000026872	ENSMUSG00000025804	ENSMUSG00000022885	ENSMUSG00000021130	ENSMUSG00000020407
ENSMUSG00000030706	ENSMUSG00000027374	ENSMUSG00000025867	ENSMUSG00000023104	ENSMUSG00000021177	ENSMUSG00000020415
ENSMUSG00000030761	ENSMUSG00000027452	ENSMUSG00000025876	ENSMUSG00000023953	ENSMUSG00000021235	ENSMUSG00000020423
ENSMUSG00000030871	ENSMUSG00000027605	ENSMUSG00000026011	ENSMUSG00000023967	ENSMUSG00000021313	ENSMUSG00000020460
ENSMUSG00000031209	ENSMUSG00000027770	ENSMUSG00000026113	ENSMUSG00000024027	ENSMUSG00000021428	ENSMUSG00000020477
ENSMUSG00000031488	ENSMUSG00000028059	ENSMUSG00000026173	ENSMUSG00000024032	ENSMUSG00000021514	ENSMUSG00000020514
ENSMUSG00000031521	ENSMUSG00000028081	ENSMUSG00000026174	ENSMUSG00000024085	ENSMUSG00000021607	ENSMUSG00000020515
ENSMUSG00000031608	ENSMUSG00000028086	ENSMUSG00000026285	ENSMUSG00000024181	ENSMUSG00000021622	ENSMUSG00000020519
ENSMUSG00000031767	ENSMUSG00000028164	ENSMUSG00000026289	ENSMUSG00000024293	ENSMUSG00000021665	ENSMUSG00000020520
ENSMUSG00000031913	ENSMUSG00000028322	ENSMUSG00000026304	ENSMUSG00000024338	ENSMUSG00000021668	ENSMUSG00000020527
ENSMUSG00000032040	ENSMUSG00000028344	ENSMUSG00000026429	ENSMUSG00000024359	ENSMUSG00000021731	ENSMUSG00000020566
ENSMUSG00000032175	ENSMUSG00000028394	ENSMUSG00000026600	ENSMUSG00000024392	ENSMUSG00000021901	ENSMUSG00000020636
ENSMUSG00000032226	ENSMUSG00000028453	ENSMUSG00000026700	ENSMUSG00000024414	ENSMUSG00000021903	ENSMUSG00000020697
ENSMUSG00000032396	ENSMUSG00000028736	ENSMUSG00000026768	ENSMUSG00000024436	ENSMUSG00000021911	ENSMUSG00000020718
ENSMUSG00000032405	ENSMUSG00000028800	ENSMUSG00000026872	ENSMUSG00000024493	ENSMUSG00000021962	ENSMUSG00000020868
ENSMUSG00000032410	ENSMUSG00000028861	ENSMUSG00000026985	ENSMUSG00000024539	ENSMUSG00000022283	ENSMUSG00000020888
ENSMUSG00000032459	ENSMUSG00000028938	ENSMUSG00000026994	ENSMUSG00000024608	ENSMUSG00000022456	ENSMUSG00000020918
ENSMUSG00000032563	ENSMUSG00000029063	ENSMUSG00000027342	ENSMUSG00000024727	ENSMUSG00000022505	ENSMUSG00000020946
ENSMUSG00000032565	ENSMUSG00000029072	ENSMUSG00000027374	ENSMUSG00000024742	ENSMUSG00000022508	ENSMUSG00000021048
ENSMUSG00000032566	ENSMUSG00000029082	ENSMUSG00000027452	ENSMUSG00000024781	ENSMUSG00000022528	ENSMUSG00000021130
ENSMUSG00000033220	ENSMUSG00000029119	ENSMUSG00000027568	ENSMUSG00000024810	ENSMUSG00000022574	ENSMUSG00000021177
ENSMUSG00000034192	ENSMUSG00000029156	ENSMUSG00000027605	ENSMUSG00000024853	ENSMUSG00000022706	ENSMUSG00000021235
ENSMUSG00000034259	ENSMUSG00000029217	ENSMUSG00000027752	ENSMUSG00000024854	ENSMUSG00000022707	ENSMUSG00000021313
ENSMUSG00000034354	ENSMUSG00000029245	ENSMUSG00000028059	ENSMUSG00000024891	ENSMUSG00000022779	ENSMUSG00000021356
ENSMUSG00000034674	ENSMUSG00000029363	ENSMUSG00000028107	ENSMUSG00000024902	ENSMUSG00000022803	ENSMUSG00000021428
ENSMUSG00000034807	ENSMUSG00000029446	ENSMUSG00000028140	ENSMUSG00000024906	ENSMUSG00000022841	ENSMUSG00000021461
ENSMUSG00000034892	ENSMUSG00000029570	ENSMUSG00000028207	ENSMUSG00000024986	ENSMUSG00000022863	ENSMUSG00000021464
ENSMUSG00000034932	ENSMUSG00000029591	ENSMUSG00000028334	ENSMUSG00000025064	ENSMUSG00000022885	ENSMUSG00000021514
ENSMUSG00000035239	ENSMUSG00000029864	ENSMUSG00000028394	ENSMUSG00000025144	ENSMUSG00000023043	ENSMUSG00000021520
ENSMUSG00000035367	ENSMUSG00000030034	ENSMUSG00000028413	ENSMUSG00000025158	ENSMUSG00000023104	ENSMUSG00000021607
ENSMUSG00000035441	ENSMUSG00000030154	ENSMUSG00000028416	ENSMUSG00000025208	ENSMUSG00000023249	ENSMUSG00000021622
ENSMUSG00000035653	ENSMUSG00000030170	ENSMUSG00000028430	ENSMUSG00000025348	ENSMUSG00000023452	ENSMUSG00000021665
ENSMUSG00000035770	ENSMUSG00000030172	ENSMUSG00000028622	ENSMUSG00000025362	ENSMUSG00000023939	ENSMUSG00000021668
ENSMUSG00000035772	ENSMUSG00000030196	ENSMUSG00000028633	ENSMUSG00000025369	ENSMUSG00000023953	ENSMUSG00000021731
ENSMUSG00000035960	ENSMUSG00000030268	ENSMUSG00000028636	ENSMUSG00000025400	ENSMUSG00000023967	ENSMUSG00000021901
ENSMUSG00000036197	ENSMUSG00000030399	ENSMUSG00000028680	ENSMUSG00000025410	ENSMUSG00000023980	ENSMUSG00000021903
ENSMUSG00000036402	ENSMUSG00000030528	ENSMUSG00000028736	ENSMUSG00000025508	ENSMUSG00000024027	ENSMUSG00000021911
ENSMUSG00000036478	ENSMUSG00000030560	ENSMUSG00000028800	ENSMUSG00000025646	ENSMUSG00000024032	ENSMUSG00000021962
ENSMUSG00000037197	ENSMUSG00000030603	ENSMUSG00000028861	ENSMUSG00000025743	ENSMUSG00000024064	ENSMUSG00000022283
ENSMUSG00000037347	ENSMUSG00000030652	ENSMUSG00000028884	ENSMUSG00000025759	ENSMUSG00000024085	ENSMUSG00000022456
ENSMUSG00000037583	ENSMUSG00000030706	ENSMUSG00000028936	ENSMUSG00000025794	ENSMUSG00000024293	ENSMUSG00000022505
ENSMUSG00000038011	ENSMUSG00000030744	ENSMUSG00000029063	ENSMUSG00000025867	ENSMUSG00000024338	ENSMUSG00000022508
ENSMUSG00000038181	ENSMUSG00000030814	ENSMUSG00000029082	ENSMUSG00000025876	ENSMUSG00000024359	ENSMUSG00000022528
ENSMUSG00000038580	ENSMUSG00000030871	ENSMUSG00000029245	ENSMUSG00000026082	ENSMUSG00000024392	ENSMUSG00000022545
ENSMUSG00000038702	ENSMUSG00000031007	ENSMUSG00000029330	ENSMUSG00000026113	ENSMUSG00000024436	ENSMUSG00000022574
ENSMUSG00000038784	ENSMUSG00000031196	ENSMUSG00000029446	ENSMUSG00000026155	ENSMUSG00000024493	ENSMUSG00000022706
ENSMUSG00000038871	ENSMUSG00000031488	ENSMUSG00000029486	ENSMUSG00000026173	ENSMUSG00000024539	ENSMUSG00000022707
ENSMUSG00000038900	ENSMUSG00000031521	ENSMUSG00000029570	ENSMUSG00000026174	ENSMUSG00000024608	ENSMUSG00000022779
ENSMUSG00000039001	ENSMUSG00000031608	ENSMUSG00000029591	ENSMUSG00000026285	ENSMUSG00000024742	ENSMUSG00000022803
ENSMUSG00000039193	ENSMUSG00000031848	ENSMUSG00000029602	ENSMUSG00000026414	ENSMUSG00000024781	ENSMUSG00000022841
ENSMUSG00000039209	ENSMUSG00000032226	ENSMUSG00000029684	ENSMUSG00000026429	ENSMUSG00000024810	ENSMUSG00000022863
ENSMUSG00000039396	ENSMUSG00000032269	ENSMUSG00000029711	ENSMUSG00000026470	ENSMUSG00000024824	ENSMUSG00000022885
ENSMUSG00000039682	ENSMUSG00000032311	ENSMUSG00000029761	ENSMUSG00000026496	ENSMUSG00000024833	ENSMUSG00000023043
ENSMUSG00000039904	ENSMUSG00000032356	ENSMUSG00000029859	ENSMUSG00000026600	ENSMUSG00000024853	ENSMUSG00000023104
ENSMUSG00000040009	ENSMUSG00000032440	ENSMUSG00000029864	ENSMUSG00000026700	ENSMUSG00000024854	ENSMUSG00000023249
ENSMUSG00000040181	ENSMUSG00000032454	ENSMUSG00000029998	ENSMUSG00000026768	ENSMUSG00000024902	ENSMUSG00000023452
ENSMUSG00000040269	ENSMUSG00000032459	ENSMUSG00000030043	ENSMUSG00000026856	ENSMUSG00000024903	ENSMUSG00000023723
ENSMUSG00000040329	ENSMUSG00000032498	ENSMUSG00000030045	ENSMUSG00000026872	ENSMUSG00000024906	ENSMUSG00000023939
ENSMUSG00000040481	ENSMUSG00000032512	ENSMUSG00000030154	ENSMUSG00000026985	ENSMUSG00000024986	ENSMUSG00000023953
ENSMUSG00000041477	ENSMUSG00000032518	ENSMUSG00000030170	ENSMUSG00000026994	ENSMUSG00000025024	ENSMUSG00000023967
ENSMUSG00000041895	ENSMUSG00000032563	ENSMUSG00000030271	ENSMUSG00000027323	ENSMUSG00000025064	ENSMUSG00000023980
ENSMUSG00000042248	ENSMUSG00000032566	ENSMUSG00000030335	ENSMUSG00000027374	ENSMUSG00000025142	ENSMUSG00000024027
ENSMUSG00000042460	ENSMUSG00000032808	ENSMUSG00000030399	ENSMUSG00000027433	ENSMUSG00000025144	ENSMUSG00000024032
ENSMUSG00000043463	ENSMUSG00000033065	ENSMUSG00000030432	ENSMUSG00000027452	ENSMUSG00000025158	ENSMUSG00000024064
ENSMUSG00000043698	ENSMUSG00000033220	ENSMUSG00000030513	ENSMUSG00000027536	ENSMUSG00000025208	ENSMUSG00000024085
ENSMUSG00000043716	ENSMUSG00000033458	ENSMUSG00000030560	ENSMUSG00000027568	ENSMUSG00000025232	ENSMUSG00000024181
ENSMUSG00000044254	ENSMUSG00000034000	ENSMUSG00000030652	ENSMUSG00000027605	ENSMUSG00000025362	ENSMUSG00000024293
ENSMUSG00000044487	ENSMUSG00000034040	ENSMUSG00000030706	ENSMUSG00000027752	ENSMUSG00000025369	ENSMUSG00000024338
ENSMUSG00000045102	ENSMUSG00000034064	ENSMUSG00000030871	ENSMUSG00000027770	ENSMUSG00000025400	ENSMUSG00000024359
ENSMUSG00000045613	ENSMUSG00000034160	ENSMUSG00000030930	ENSMUSG00000028059	ENSMUSG00000025410	ENSMUSG00000024392
ENSMUSG00000045871	ENSMUSG00000034211	ENSMUSG00000031007	ENSMUSG00000028107	ENSMUSG00000025508	ENSMUSG00000024414
ENSMUSG00000045994	ENSMUSG00000034259	ENSMUSG00000031196	ENSMUSG00000028140	ENSMUSG00000025646	ENSMUSG00000024436
ENSMUSG00000046020	ENSMUSG00000034321	ENSMUSG00000031209	ENSMUSG00000028164	ENSMUSG00000025743	ENSMUSG00000024493
ENSMUSG00000047379	ENSMUSG00000034880	ENSMUSG00000031444	ENSMUSG00000028322	ENSMUSG00000025759	ENSMUSG00000024539
ENSMUSG00000047459	ENSMUSG00000034932	ENSMUSG00000031461	ENSMUSG00000028394	ENSMUSG00000025794	ENSMUSG00000024608
ENSMUSG00000049926	ENSMUSG00000035031	ENSMUSG00000031488	ENSMUSG00000028453	ENSMUSG00000025804	ENSMUSG00000024727
ENSMUSG00000049940	ENSMUSG00000035245	ENSMUSG00000031520	ENSMUSG00000028622	ENSMUSG00000025867	ENSMUSG00000024742
ENSMUSG00000051156	ENSMUSG00000035770	ENSMUSG00000031521	ENSMUSG00000028636	ENSMUSG00000025876	ENSMUSG00000024781
ENSMUSG00000051424	ENSMUSG00000035960	ENSMUSG00000031536	ENSMUSG00000028680	ENSMUSG00000026011	ENSMUSG00000024810
ENSMUSG00000052270	ENSMUSG00000036023	ENSMUSG00000031601	ENSMUSG00000028800	ENSMUSG00000026082	ENSMUSG00000024824
ENSMUSG00000052273	ENSMUSG00000036091	ENSMUSG00000031608	ENSMUSG00000028861	ENSMUSG00000026113	ENSMUSG00000024829
ENSMUSG00000052423	ENSMUSG00000036197	ENSMUSG00000031683	ENSMUSG00000028936	ENSMUSG00000026155	ENSMUSG00000024833
ENSMUSG00000055737	ENSMUSG00000036478	ENSMUSG00000031749	ENSMUSG00000028938	ENSMUSG00000026156	ENSMUSG00000024853
ENSMUSG00000056749	ENSMUSG00000036550	ENSMUSG00000031767	ENSMUSG00000029082	ENSMUSG00000026173	ENSMUSG00000024854
ENSMUSG00000056870	ENSMUSG00000037197	ENSMUSG00000031840	ENSMUSG00000029119	ENSMUSG00000026174	ENSMUSG00000024891
ENSMUSG00000056901	ENSMUSG00000037347	ENSMUSG00000031913	ENSMUSG00000029217	ENSMUSG00000026285	ENSMUSG00000024902
ENSMUSG00000057244	ENSMUSG00000037573	ENSMUSG00000032040	ENSMUSG00000029245	ENSMUSG00000026289	ENSMUSG00000024903
ENSMUSG00000057342	ENSMUSG00000037583	ENSMUSG00000032175	ENSMUSG00000029330	ENSMUSG00000026304	ENSMUSG00000024906
ENSMUSG00000059483	ENSMUSG00000037772	ENSMUSG00000032226	ENSMUSG00000029363	ENSMUSG00000026414	ENSMUSG00000024986
